timestamp,csi_data
1778750908,"94,96,5,0,24,-11,24,-11,22,-10,21,-10,20,-10,19,-10,19,-10,18,-11,17,-11,16,-10,15,-10,16,-11,16,-10,16,-10,16,-9,16,-8,15,-8,15,-8,14,-7,13,-7,13,-6,12,-5,12,-4,12,-3,11,-4,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-3,17,-10,18,-9,19,-8,20,-8,21,-8,22,-8,23,-7,24,-6,23,-6,23,-6,24,-6,25,-6,25,-6,25,-5,26,-5,26,-5,25,-5,25,-6,26,-6,25,-6,24,-6,24,-6,24,-7,24,-8,24,-9,24,-11,12,-8,42,-23,43,-23,42,-21,39,-20,38,-20,37,-21,36,-21,35,-22,34,-22,33,-23,31,-22,30,-22,30,-22,29,-22,28,-21,28,-20,27,-18,25,-17,24,-16,24,-15,24,-14,24,-13,23,-12,22,-11,22,-10,22,-9,21,-10,20,-8,3,-2,0,-1,-1,0,-1,0,-1,0,1,-2,5,-5,30,-26,31,-24,33,-20,34,-17,36,-16,38,-16,39,-16,41,-16,42,-15,43,-14,45,-14,46,-13,47,-13,48,-13,49,-12,50,-11,49,-11,49,-11,49,-12,48,-13,47,-13,46,-15,46,-15,47,-16,47,-17,47,-18,46,-20,46,-21"
1778750908,"96,-128,5,0,17,13,17,13,16,13,15,12,15,11,16,10,16,10,16,10,16,9,16,8,16,7,15,7,15,8,15,8,15,8,15,8,15,8,14,9,13,9,12,9,11,10,9,10,8,9,7,8,7,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,9,15,10,15,11,14,12,14,13,15,14,16,15,17,15,17,15,17,16,18,16,17,17,16,18,15,18,15,18,13,17,13,16,15,17,15,18,15,17,15,16,16,15,16,14,15,15,16,16,18,17,10,7,33,25,35,24,35,23,33,21,32,20,31,19,31,19,32,18,32,17,32,15,33,13,32,12,31,12,31,13,32,14,32,14,31,14,29,14,27,15,24,17,22,17,20,17,18,17,17,16,15,14,14,14,13,14,11,15,1,2,0,0,-1,-1,-1,-1,-1,-1,1,0,5,2,29,14,29,15,28,18,28,19,28,22,28,24,28,26,28,27,29,29,30,29,31,30,32,32,32,33,32,34,31,35,30,35,30,34,29,33,29,32,29,31,29,31,28,31,30,30,31,29,32,29,32,29,32,29,33,29"
1778750909,"96,-128,5,0,27,1,27,0,24,1,24,2,25,1,24,-1,24,-2,24,-1,24,-1,22,-2,20,-1,20,0,21,-1,22,-2,22,-1,21,0,19,1,18,2,19,2,18,4,16,6,16,5,16,4,16,5,14,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,20,-4,19,-3,20,-3,21,-2,21,-3,21,-2,22,-1,23,0,22,2,21,5,22,4,24,3,25,4,24,5,24,3,24,2,23,2,23,3,25,3,26,4,24,3,24,4,26,4,30,4,30,2,28,1,14,5,48,14,46,12,45,11,44,12,43,11,43,9,41,7,39,5,39,4,40,7,40,8,38,9,40,9,41,9,41,6,41,6,39,9,36,12,35,13,35,13,35,13,32,15,28,14,25,13,23,13,21,15,14,18,13,21,2,4,0,1,-1,-1,-1,-1,-1,-1,1,0,5,1,31,13,32,14,34,4,34,5,34,7,35,8,37,8,40,9,42,11,43,13,42,17,42,20,42,22,43,22,42,22,40,21,39,20,39,19,41,19,42,20,43,20,43,18,43,15,43,15,44,16,48,15,50,14,49,14"
1778750909,"96,-128,5,0,-1,26,-1,26,0,26,0,24,0,23,2,22,3,23,4,23,5,22,6,21,5,21,4,20,5,21,5,22,5,22,4,21,5,21,3,20,1,21,1,20,0,18,0,18,0,17,-1,15,-2,14,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,-2,20,-3,19,-4,20,-4,21,-5,22,-7,23,-8,24,-9,24,-9,24,-10,25,-10,27,-11,27,-10,27,-9,26,-10,26,-11,26,-11,25,-10,25,-8,25,-8,26,-6,28,-6,28,-5,27,-4,27,-3,28,-3,29,-1,15,-2,50,-2,50,0,51,1,50,2,48,3,47,5,46,6,44,7,42,9,40,10,39,10,39,10,38,10,40,10,42,8,43,7,42,6,40,5,38,4,37,3,36,1,35,0,33,-1,31,-2,28,-4,27,-5,23,-9,22,-2,3,-2,1,-1,-1,-1,-2,-1,-1,0,2,0,6,4,39,4,40,0,39,-2,40,-3,41,-5,42,-6,43,-9,45,-10,47,-12,48,-13,50,-15,51,-16,52,-16,53,-16,53,-17,52,-18,50,-19,48,-19,48,-16,48,-13,48,-11,51,-10,53,-9,53,-7,53,-5,53,-3,55,-3,57"
1778750909,"94,96,5,0,25,-7,25,-6,25,-6,23,-6,21,-7,21,-8,21,-9,20,-9,20,-9,19,-8,18,-7,18,-7,19,-8,18,-8,18,-7,18,-7,17,-7,16,-5,15,-4,15,-4,15,-4,14,-3,14,-2,13,-1,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2,19,-5,18,-4,19,-4,20,-4,20,-3,21,-2,22,-2,22,-1,23,-1,24,-1,24,0,23,0,24,1,25,2,25,2,24,1,24,-1,24,-1,24,-1,25,-2,25,-3,26,-3,26,-3,26,-4,26,-4,25,-6,15,-2,51,-6,49,-6,47,-7,45,-7,43,-8,40,-10,41,-11,41,-13,41,-13,39,-14,39,-14,38,-14,39,-13,39,-12,38,-11,36,-9,35,-9,34,-9,33,-8,32,-7,31,-5,30,-5,29,-4,28,-3,27,-2,26,0,25,2,24,4,4,0,1,0,-1,-1,-2,0,-1,0,1,-1,5,-2,31,-8,31,-8,34,-8,35,-6,37,-5,39,-4,41,-3,42,-2,43,-1,43,0,45,0,47,1,48,2,48,3,47,3,47,5,47,5,47,4,47,2,48,2,49,1,49,-1,49,-3,50,-3,50,-3,50,-4,49,-5,47,-7"
1778750909,"96,-128,5,0,20,-19,18,-20,17,-20,17,-17,17,-16,17,-16,17,-17,16,-16,13,-16,12,-17,12,-17,12,-16,12,-15,12,-15,11,-15,11,-13,12,-12,11,-13,11,-13,12,-12,12,-10,12,-9,11,-9,10,-8,9,-8,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,12,-17,14,-17,15,-17,17,-16,17,-15,16,-15,18,-15,20,-15,22,-15,23,-16,23,-17,23,-16,23,-16,22,-15,23,-15,23,-16,23,-17,21,-17,21,-17,21,-17,21,-18,22,-19,22,-19,21,-18,21,-19,22,-21,12,-12,40,-37,38,-35,36,-35,34,-34,32,-32,32,-31,32,-32,31,-32,30,-31,28,-31,26,-32,25,-31,25,-30,25,-29,24,-28,24,-26,24,-25,23,-25,23,-25,23,-24,22,-22,23,-19,22,-17,20,-15,19,-14,18,-12,19,-8,19,-8,3,-2,1,-1,-1,-1,-1,0,-1,0,0,-2,3,-6,22,-31,26,-31,26,-31,28,-32,30,-32,31,-31,33,-30,34,-29,36,-29,38,-29,39,-30,41,-31,42,-32,44,-30,45,-29,44,-29,44,-30,44,-31,43,-31,42,-32,42,-33,43,-32,44,-33,43,-34,43,-35,42,-36,42,-38,42,-40"
1778750909,"94,96,5,0,-25,-9,-25,-8,-25,-8,-24,-9,-23,-8,-23,-7,-22,-7,-22,-7,-21,-5,-20,-4,-21,-5,-21,-5,-19,-5,-19,-4,-18,-4,-17,-5,-16,-5,-15,-5,-14,-4,-13,-4,-13,-5,-13,-5,-12,-4,-10,-4,-9,-4,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-2,-20,-7,-20,-8,-21,-8,-22,-9,-22,-10,-22,-11,-23,-11,-22,-11,-23,-12,-25,-12,-25,-13,-24,-13,-23,-14,-23,-14,-24,-14,-25,-13,-24,-13,-23,-13,-22,-12,-23,-10,-24,-10,-26,-9,-26,-9,-27,-10,-27,-11,-25,-10,-17,-4,-53,-13,-51,-14,-49,-14,-48,-13,-45,-13,-44,-12,-43,-10,-41,-10,-41,-9,-40,-8,-39,-7,-38,-7,-37,-7,-37,-7,-36,-7,-35,-7,-33,-8,-30,-8,-29,-8,-29,-8,-27,-8,-26,-8,-25,-8,-22,-7,-20,-7,-18,-7,-18,-8,-17,-10,-3,-3,-1,-2,0,0,1,-1,0,-1,-3,0,-8,0,-40,-1,-40,-1,-37,-9,-37,-10,-38,-12,-39,-14,-41,-16,-43,-17,-44,-18,-44,-19,-44,-21,-45,-22,-45,-22,-45,-22,-45,-23,-45,-23,-45,-23,-46,-23,-46,-22,-46,-22,-45,-20,-45,-18,-46,-18,-48,-17,-49,-17,-50,-16,-50,-15,-49,-13"
1778750910,"94,96,5,0,-24,-17,-24,-17,-23,-17,-21,-17,-21,-17,-21,-16,-21,-15,-20,-14,-20,-13,-20,-11,-19,-11,-18,-11,-17,-11,-16,-11,-16,-11,-16,-11,-14,-11,-13,-11,-13,-10,-13,-10,-12,-9,-11,-9,-11,-8,-11,-9,-10,-9,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-3,-18,-10,-18,-11,-18,-12,-18,-13,-19,-14,-20,-15,-20,-16,-20,-15,-21,-16,-20,-17,-19,-17,-19,-18,-19,-19,-19,-18,-19,-18,-19,-17,-20,-17,-21,-17,-21,-18,-21,-19,-22,-19,-22,-18,-23,-18,-24,-19,-24,-19,-26,-18,-13,-12,-40,-37,-40,-38,-41,-36,-41,-35,-40,-33,-40,-32,-39,-30,-38,-30,-36,-29,-35,-28,-36,-27,-35,-26,-33,-25,-31,-24,-29,-23,-28,-22,-27,-21,-26,-21,-25,-22,-23,-22,-22,-23,-21,-23,-19,-22,-18,-21,-18,-20,-17,-20,-13,-23,-11,-24,-2,-5,-1,-2,0,0,1,0,0,0,-3,-1,-7,-3,-37,-13,-36,-17,-35,-20,-34,-23,-33,-26,-34,-27,-34,-28,-35,-30,-36,-30,-36,-31,-36,-32,-36,-34,-35,-35,-34,-36,-34,-36,-34,-37,-35,-37,-35,-37,-35,-37,-37,-37,-38,-38,-40,-39,-42,-38,-43,-37,-43,-36,-43,-36,-44,-36,-46,-36"
1778750910,"96,-128,5,0,2,27,3,27,3,26,3,24,4,24,5,24,6,23,6,22,5,22,5,21,6,20,6,19,5,19,4,19,3,19,3,19,3,19,3,18,3,17,2,17,1,16,1,15,1,14,-1,14,-1,14,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,18,1,19,2,20,2,21,1,21,0,21,0,22,0,23,0,24,-1,25,-1,25,-1,25,-1,25,0,25,0,25,0,25,0,25,-1,25,0,24,1,25,2,26,3,27,3,28,3,28,3,28,4,29,1,16,4,55,4,53,4,51,4,49,4,48,4,47,5,45,6,43,6,43,7,42,8,42,8,40,7,39,5,37,4,37,3,37,3,36,3,35,3,33,2,32,0,32,-1,31,-2,30,-2,28,-3,26,-5,25,-10,23,-12,22,-3,3,-1,1,-1,-1,-1,-2,-1,-1,0,1,1,5,8,31,7,32,6,35,5,37,4,39,3,40,2,40,1,40,-1,41,-1,43,-1,45,-1,47,-1,48,-2,49,-3,48,-2,48,-3,47,-3,47,-3,47,-3,48,-3,48,-2,48,0,49,2,51,2,53,3,53,5,54,7,54"
1778750910,"94,96,5,0,-23,-18,-22,-18,-21,-17,-21,-17,-20,-16,-20,-15,-21,-14,-21,-14,-20,-13,-19,-11,-17,-12,-18,-13,-17,-12,-17,-11,-17,-11,-16,-10,-15,-10,-15,-11,-14,-12,-14,-12,-13,-10,-12,-10,-12,-10,-12,-10,-11,-11,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-2,-18,-8,-18,-9,-19,-12,-19,-14,-19,-14,-19,-13,-19,-15,-19,-17,-19,-17,-20,-17,-20,-18,-20,-18,-21,-19,-21,-19,-20,-19,-20,-20,-20,-19,-21,-19,-21,-20,-21,-19,-22,-18,-23,-17,-23,-18,-24,-18,-24,-18,-24,-18,-15,-10,-46,-32,-45,-31,-44,-30,-43,-29,-41,-29,-39,-28,-38,-26,-38,-25,-37,-24,-36,-22,-35,-21,-34,-21,-35,-21,-35,-20,-35,-20,-34,-18,-32,-17,-30,-17,-29,-17,-29,-18,-29,-18,-27,-17,-25,-19,-23,-19,-22,-19,-21,-19,-21,-16,-21,-16,-4,-3,-2,-1,0,-1,0,0,0,0,-2,-1,-6,-3,-30,-18,-32,-20,-33,-19,-34,-21,-36,-24,-37,-26,-37,-26,-37,-27,-37,-29,-37,-31,-37,-33,-38,-33,-38,-33,-38,-33,-38,-34,-39,-35,-38,-37,-40,-37,-40,-36,-41,-36,-41,-36,-41,-34,-43,-32,-44,-32,-45,-32,-46,-33,-46,-33,-45,-33"
