timestamp,csi_data
1778752032,"94,96,5,0,18,20,19,19,19,18,19,17,19,15,19,14,19,14,18,13,17,12,16,12,16,13,17,13,17,13,16,13,15,12,15,12,14,12,13,12,11,12,10,11,9,11,9,12,9,12,8,10,7,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,11,13,11,14,12,15,13,15,15,14,16,13,16,14,16,16,17,17,18,16,19,16,19,16,20,16,22,16,22,16,22,15,20,16,20,17,22,16,22,16,20,17,19,17,20,18,22,19,21,20,20,11,13,37,41,37,40,36,38,35,36,34,33,34,31,35,30,35,29,34,27,33,26,32,26,32,26,32,25,31,24,29,24,28,24,27,24,26,24,23,25,21,24,19,24,18,24,17,24,15,22,13,21,11,21,7,25,4,27,0,5,0,1,-1,-1,-1,-1,-1,-1,1,0,4,3,27,18,26,19,26,21,25,23,25,26,27,28,27,30,27,31,28,32,29,34,29,35,30,37,30,38,30,39,29,41,29,43,29,43,29,42,28,42,28,42,29,44,29,44,29,44,30,43,31,43,33,42,34,41,35,39"
1778752032,"96,-128,5,0,-15,-19,-16,-19,-16,-18,-16,-19,-16,-19,-16,-17,-16,-17,-15,-17,-16,-16,-16,-16,-16,-17,-15,-17,-14,-15,-13,-15,-13,-16,-12,-16,-12,-15,-11,-15,-11,-14,-10,-14,-9,-14,-8,-13,-7,-13,-7,-13,-7,-12,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,-9,-13,-9,-13,-9,-14,-9,-15,-9,-16,-9,-16,-9,-17,-9,-18,-9,-19,-9,-21,-9,-22,-8,-22,-8,-22,-9,-22,-9,-21,-10,-21,-11,-21,-11,-22,-11,-22,-12,-22,-12,-22,-12,-22,-14,-22,-14,-23,-13,-24,-13,-24,-11,-11,-33,-35,-34,-35,-35,-34,-35,-33,-34,-33,-33,-33,-33,-31,-32,-30,-32,-29,-33,-29,-33,-28,-33,-28,-33,-27,-31,-26,-30,-25,-28,-26,-27,-26,-26,-26,-24,-26,-22,-25,-21,-25,-19,-25,-17,-24,-16,-23,-14,-23,-14,-23,-13,-22,-12,-23,-3,-5,-1,-2,0,0,0,0,0,0,-2,-1,-4,-3,-18,-17,-19,-19,-18,-23,-18,-24,-18,-26,-19,-27,-19,-28,-20,-30,-20,-32,-20,-34,-21,-36,-21,-38,-21,-39,-21,-40,-21,-41,-22,-40,-22,-40,-23,-40,-23,-40,-24,-40,-25,-40,-26,-40,-27,-41,-28,-41,-30,-41,-30,-41,-30,-42,-30,-42"
1778752032,"94,96,5,0,-15,23,-14,22,-14,22,-14,22,-13,22,-13,22,-12,21,-11,21,-11,20,-12,20,-12,20,-11,19,-11,20,-11,21,-11,20,-11,18,-12,17,-11,16,-10,15,-10,14,-10,14,-11,13,-11,12,-11,12,-11,11,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,4,-8,15,-9,15,-10,15,-11,16,-13,17,-14,18,-13,19,-14,20,-15,20,-16,20,-17,20,-18,20,-20,20,-20,19,-20,20,-20,20,-21,20,-20,20,-20,20,-19,20,-18,21,-18,22,-19,22,-19,23,-19,23,-18,24,-8,14,-26,47,-25,46,-24,46,-24,46,-23,46,-22,45,-20,44,-19,43,-18,42,-17,40,-17,39,-16,39,-16,39,-17,39,-17,40,-17,39,-18,37,-18,35,-17,34,-16,33,-17,30,-17,27,-17,25,-18,23,-18,21,-20,20,-19,20,-20,20,-4,3,-2,1,0,-1,0,-1,0,-1,-1,1,-1,4,-6,28,-8,27,-13,29,-15,30,-17,32,-20,34,-23,35,-24,37,-25,38,-26,38,-28,38,-29,39,-32,40,-33,40,-34,40,-34,39,-34,40,-35,41,-35,41,-35,42,-35,42,-33,42,-32,42,-32,44,-32,45,-31,45,-30,46,-28,46"
1778752032,"94,96,5,0,-9,-24,-9,-25,-10,-26,-12,-23,-14,-22,-15,-22,-13,-20,-12,-18,-14,-19,-13,-20,-12,-19,-13,-19,-12,-18,-13,-17,-13,-18,-11,-18,-9,-17,-9,-16,-9,-17,-8,-16,-8,-16,-7,-16,-6,-16,-5,-16,-5,-16,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-4,-3,-17,-3,-18,-3,-20,-2,-20,-2,-18,-4,-17,-5,-20,-5,-23,-4,-24,-3,-25,-1,-26,0,-27,-1,-26,-1,-25,-1,-24,-2,-25,-3,-25,-3,-23,-4,-23,-6,-23,-6,-26,-5,-29,-6,-29,-8,-29,-7,-29,-6,-27,-4,-15,-11,-49,-13,-49,-15,-51,-16,-49,-16,-47,-17,-44,-19,-43,-20,-40,-18,-39,-19,-38,-19,-38,-19,-36,-20,-36,-19,-35,-19,-35,-18,-34,-15,-33,-14,-30,-14,-30,-13,-31,-12,-31,-13,-31,-12,-29,-9,-28,-7,-28,-6,-27,3,-24,5,-24,0,-5,0,-2,0,0,0,1,0,0,-2,-2,-4,-5,-16,-29,-12,-28,-9,-30,-10,-33,-10,-35,-9,-37,-8,-37,-8,-38,-7,-41,-8,-45,-7,-47,-7,-50,-5,-51,-3,-51,-3,-51,-3,-50,-4,-50,-5,-50,-7,-50,-5,-49,-5,-49,-5,-47,-6,-49,-6,-51,-9,-53,-11,-54,-12,-53,-13,-50"
1778752032,"96,-128,5,0,-13,23,-12,22,-10,22,-10,21,-10,21,-9,21,-8,21,-8,22,-9,22,-8,21,-7,20,-7,20,-8,20,-8,20,-8,19,-9,18,-8,16,-7,15,-7,15,-8,14,-9,12,-9,11,-9,11,-8,10,-7,10,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3,-7,15,-8,15,-10,16,-11,17,-11,17,-11,16,-12,18,-13,19,-14,21,-15,21,-16,21,-17,20,-17,20,-17,20,-17,20,-17,20,-17,20,-16,20,-16,20,-16,21,-15,22,-16,23,-16,22,-16,22,-15,22,-13,23,-8,13,-26,45,-26,45,-24,44,-23,43,-22,42,-22,41,-21,40,-20,39,-19,39,-20,39,-19,39,-18,38,-17,38,-17,37,-18,35,-19,34,-19,32,-18,29,-18,26,-18,26,-18,25,-18,23,-18,21,-17,20,-16,18,-17,17,-20,15,-20,15,-4,2,-2,0,0,-1,0,-2,0,-1,-1,1,-2,5,-10,29,-11,29,-14,28,-16,29,-18,30,-20,31,-21,32,-22,33,-25,35,-26,36,-28,37,-29,37,-31,37,-32,36,-33,36,-34,36,-34,36,-35,36,-35,37,-34,39,-33,39,-32,39,-31,40,-30,40,-30,40,-29,41,-28,43,-27,46"
1778752033,"94,96,5,0,24,-12,25,-13,24,-13,23,-13,21,-12,20,-12,20,-13,20,-14,20,-14,19,-14,18,-13,17,-12,18,-12,18,-12,17,-12,17,-11,17,-11,16,-10,15,-9,15,-8,14,-8,13,-7,13,-7,13,-7,12,-5,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,14,-11,15,-10,16,-9,17,-9,18,-9,19,-9,19,-9,21,-8,22,-9,24,-9,25,-8,25,-7,25,-8,26,-8,26,-8,26,-8,26,-9,26,-9,26,-9,26,-8,26,-9,26,-11,26,-11,27,-11,26,-11,25,-12,14,-8,48,-26,47,-26,46,-27,44,-26,42,-25,40,-25,38,-26,37,-27,37,-29,36,-29,35,-29,34,-27,33,-26,33,-25,32,-24,32,-23,32,-22,32,-21,31,-20,31,-19,30,-17,28,-15,26,-13,25,-13,25,-12,25,-10,24,-7,23,-5,4,-1,1,-1,-1,-1,-1,0,-1,0,0,-1,3,-4,23,-18,25,-19,27,-19,29,-18,30,-17,32,-17,33,-18,35,-19,36,-18,39,-18,41,-18,44,-17,46,-17,47,-16,48,-17,49,-17,49,-17,49,-18,49,-18,49,-19,49,-18,49,-17,48,-19,48,-21,48,-23,48,-24,48,-24,47,-24"
1778752034,"94,96,5,0,19,-19,19,-20,17,-19,16,-18,15,-17,15,-18,15,-19,14,-18,13,-18,13,-18,13,-18,14,-16,14,-17,13,-17,13,-17,12,-16,13,-14,14,-13,14,-14,12,-12,12,-10,12,-9,11,-9,10,-8,11,-7,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-3,10,-12,11,-12,12,-12,13,-12,14,-13,15,-13,16,-13,17,-13,19,-13,20,-14,19,-14,20,-14,22,-14,22,-15,21,-15,21,-14,21,-14,21,-14,21,-15,21,-16,21,-15,20,-15,20,-16,21,-18,22,-19,21,-20,12,-9,41,-29,40,-29,39,-29,37,-29,35,-29,34,-29,33,-29,32,-31,33,-31,31,-31,30,-31,29,-31,29,-29,29,-28,29,-27,29,-26,29,-25,28,-23,29,-22,28,-21,27,-19,26,-16,26,-14,25,-14,24,-13,24,-11,26,-7,26,-5,4,-1,1,-1,-1,0,-1,0,-1,0,0,-1,3,-4,22,-18,23,-18,22,-20,25,-20,27,-20,30,-20,31,-21,33,-21,35,-21,36,-21,39,-21,41,-21,42,-21,42,-21,44,-21,44,-22,44,-23,45,-23,44,-23,45,-23,44,-22,44,-23,43,-23,42,-24,42,-26,42,-28,43,-30,44,-31"
1778752034,"94,96,5,0,16,20,16,20,15,19,16,18,15,17,14,16,14,16,13,16,13,16,12,15,12,15,12,14,12,15,12,15,11,15,10,15,9,14,9,13,8,13,8,12,7,12,6,13,6,12,5,12,5,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,10,11,10,11,11,11,11,11,12,12,13,12,14,12,14,11,16,12,17,12,18,12,18,12,19,12,20,12,20,12,20,12,19,13,19,13,20,13,20,13,20,14,20,13,20,14,20,15,21,17,21,9,11,31,39,31,37,30,35,30,34,30,34,30,33,29,32,29,31,29,29,27,28,26,28,25,28,24,27,24,27,24,27,23,27,22,27,20,26,19,24,17,24,16,24,14,24,12,25,11,24,9,23,8,22,6,20,6,19,1,3,0,0,-1,-1,-1,-1,-1,-1,1,0,4,3,22,17,21,17,20,18,20,19,20,20,21,21,22,23,23,25,23,26,23,28,22,30,23,33,23,35,24,36,24,37,24,37,25,37,25,36,25,36,25,37,27,38,27,38,27,39,28,39,29,38,30,38,31,38,32,38"
1778752034,"96,-128,5,0,20,16,20,14,20,14,20,15,20,14,19,13,18,13,17,12,17,12,17,12,17,12,17,12,17,11,17,11,16,12,15,12,14,13,12,14,11,13,10,13,10,12,10,11,9,11,8,10,8,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,12,7,12,9,13,10,14,11,14,11,14,12,15,13,15,13,15,14,15,14,16,15,16,17,16,18,16,17,16,16,16,16,16,17,17,18,17,18,17,18,18,18,18,17,18,17,20,17,21,18,20,18,10,11,33,35,34,34,35,32,35,32,35,31,35,30,35,29,35,29,34,28,34,27,32,26,31,26,31,26,31,25,30,26,27,26,26,25,24,25,23,25,21,24,20,24,18,24,16,23,15,22,13,21,12,21,7,24,5,24,0,4,0,1,-1,-1,-1,-1,-1,-1,1,0,3,2,21,15,21,16,23,17,23,18,24,20,24,22,25,24,26,25,26,27,25,28,25,29,26,30,27,32,28,34,27,36,27,36,27,36,28,36,28,36,28,36,29,36,30,36,31,36,33,35,34,35,35,36,36,36,35,35"
1778752034,"96,-128,5,0,26,-4,26,-4,26,-5,25,-4,24,-5,24,-6,23,-6,22,-7,22,-6,21,-5,21,-5,20,-5,20,-5,20,-4,20,-3,19,-3,19,-3,18,-3,16,-2,16,-1,15,-1,14,-1,14,0,13,1,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2,14,-5,15,-4,16,-3,16,-3,18,-4,19,-3,20,-3,21,-3,22,-3,22,-3,23,-3,24,-2,25,-1,24,0,24,-1,24,-2,25,-2,26,-3,26,-3,26,-3,25,-3,25,-3,26,-3,27,-3,28,-4,27,-5,15,-1,50,-3,51,-4,50,-5,49,-7,48,-7,47,-7,45,-8,44,-9,43,-10,42,-10,42,-10,41,-9,41,-9,41,-8,40,-6,40,-4,38,-3,36,-2,34,-2,31,-1,29,0,28,0,27,0,26,1,25,3,24,4,22,8,21,10,3,2,0,0,-1,-1,-1,0,-1,0,1,-1,5,-2,28,-7,29,-7,29,-8,30,-7,31,-5,32,-4,34,-3,36,-3,38,-3,40,-3,42,-2,43,-2,44,-2,46,-1,47,0,47,1,47,1,47,1,48,0,49,0,49,0,50,0,50,0,50,-1,50,-2,51,-2,52,-3,53,-3"
